PropertyID,Date,RentalIncome,Expenses
P0001,01-01-2023,27322,4181
P0001,01-02-2023,29793,3040
P0001,01-03-2023,26556,7041
P0001,01-04-2023,17807,11080
P0001,01-05-2023,21749,10191
P0001,01-06-2023,29086,8994
P0001,01-07-2023,8312,2824
P0001,01-08-2023,29731,11519
P0001,01-09-2023,7141,8919
P0001,01-10-2023,23870,3310
P0001,01-11-2023,10588,4423
P0001,01-12-2023,9301,11906
P0001,01-01-2024,24570,10405
P0001,01-02-2024,26361,5768
P0001,01-03-2024,8748,6349
P0001,01-04-2024,13435,5209
P0001,01-05-2024,29657,8119
P0001,01-06-2024,29031,10586
P0001,01-07-2024,13576,11650
P0001,01-08-2024,23456,8030
P0001,01-09-2024,14188,2004
P0001,01-10-2024,5214,3031
P0001,01-11-2024,27960,2323
P0001,01-12-2024,21312,6529
P0002,01-01-2023,17428,1633
P0002,01-02-2023,6105,5127
P0002,01-03-2023,16972,7816
P0002,01-04-2023,5852,6410
P0002,01-05-2023,24559,6848
P0002,01-06-2023,29826,7690
P0002,01-07-2023,21640,4876
P0002,01-08-2023,9645,4986
P0002,01-09-2023,23968,11088
P0002,01-10-2023,15829,9553
P0002,01-11-2023,7330,4203
P0002,01-12-2023,12662,9620
P0002,01-01-2024,11114,2853
P0002,01-02-2024,14975,6563
P0002,01-03-2024,28933,9075
P0002,01-04-2024,4667,5968
P0002,01-05-2024,13337,8319
P0002,01-06-2024,7719,4245
P0002,01-07-2024,11483,2039
P0002,01-08-2024,8964,6335
P0002,01-09-2024,24159,7542
P0002,01-10-2024,18837,8602
P0002,01-11-2024,11312,6820
P0002,01-12-2024,17216,7632
P0003,01-01-2023,28275,4279
P0003,01-02-2023,21308,3081
P0003,01-03-2023,28098,4824
P0003,01-04-2023,16677,7213
P0003,01-05-2023,27410,1755
P0003,01-06-2023,8804,3338
P0003,01-07-2023,14136,1509
P0003,01-08-2023,23255,10489
P0003,01-09-2023,27793,8918
P0003,01-10-2023,9124,2515
P0003,01-11-2023,6193,9915
P0003,01-12-2023,17550,8949
P0003,01-01-2024,8158,5425
P0003,01-02-2024,10970,8438
P0003,01-03-2024,25168,5500
P0003,01-04-2024,22017,11844
P0003,01-05-2024,11266,10202
P0003,01-06-2024,4384,1904
P0003,01-07-2024,12175,3500
P0003,01-08-2024,13860,7489
P0003,01-09-2024,19106,2960
P0003,01-10-2024,27574,8640
P0003,01-11-2024,7636,6309
P0003,01-12-2024,24562,8745
P0004,01-01-2023,26984,7497
P0004,01-02-2023,6048,6280
P0004,01-03-2023,21100,9439
P0004,01-04-2023,25949,6044
P0004,01-05-2023,8976,11515
P0004,01-06-2023,7419,8739
P0004,01-07-2023,18489,1749
P0004,01-08-2023,29249,11857
P0004,01-09-2023,21154,5863
P0004,01-10-2023,14176,2577
P0004,01-11-2023,12427,10080
P0004,01-12-2023,28285,6358
P0004,01-01-2024,14040,8044
P0004,01-02-2024,25103,4314
P0004,01-03-2024,23758,2752
P0004,01-04-2024,10996,6173
P0004,01-05-2024,24914,11842
P0004,01-06-2024,19781,8381
P0004,01-07-2024,10949,11021
P0004,01-08-2024,26625,9517
P0004,01-09-2024,10941,11050
P0004,01-10-2024,27386,11709
P0004,01-11-2024,21715,5761
P0004,01-12-2024,28032,11050
P0005,01-01-2023,25499,6137
P0005,01-02-2023,8854,4677
P0005,01-03-2023,28114,11820
P0005,01-04-2023,22564,6392
P0005,01-05-2023,11043,1637
P0005,01-06-2023,26711,4972
P0005,01-07-2023,25833,4332
P0005,01-08-2023,23963,7471
P0005,01-09-2023,8164,9441
P0005,01-10-2023,18388,7069
P0005,01-11-2023,8300,7769
P0005,01-12-2023,7818,3406
P0005,01-01-2024,10254,2260
P0005,01-02-2024,28214,8850
P0005,01-03-2024,19183,7738
P0005,01-04-2024,10090,7531
P0005,01-05-2024,28071,10591
P0005,01-06-2024,16647,11411
P0005,01-07-2024,12472,3387
P0005,01-08-2024,7266,2166
P0005,01-09-2024,8188,2171
P0005,01-10-2024,14161,8277
P0005,01-11-2024,15314,9070
P0005,01-12-2024,28340,6624
P0006,01-01-2023,25969,6277
P0006,01-02-2023,7900,8177
P0006,01-03-2023,17716,8481
P0006,01-04-2023,10376,2023
P0006,01-05-2023,22777,4093
P0006,01-06-2023,14160,11445
P0006,01-07-2023,18124,8740
P0006,01-08-2023,27321,11988
P0006,01-09-2023,26574,6740
P0006,01-10-2023,14453,11978
P0006,01-11-2023,26877,4378
P0006,01-12-2023,24527,5144
P0006,01-01-2024,8432,11747
P0006,01-02-2024,18178,2776
P0006,01-03-2024,26195,1802
P0006,01-04-2024,21022,1555
P0006,01-05-2024,17013,10217
P0006,01-06-2024,12150,3625
P0006,01-07-2024,15479,1864
P0006,01-08-2024,10809,6121
P0006,01-09-2024,19034,6626
P0006,01-10-2024,9122,3146
P0006,01-11-2024,21302,4297
P0006,01-12-2024,26890,7370
P0007,01-01-2023,5531,9672
P0007,01-02-2023,23729,9173
P0007,01-03-2023,27333,8382
P0007,01-04-2023,5906,4586
P0007,01-05-2023,17503,9652
P0007,01-06-2023,9750,11767
P0007,01-07-2023,29289,2562
P0007,01-08-2023,22360,2796
P0007,01-09-2023,10229,9141
P0007,01-10-2023,20509,6132
P0007,01-11-2023,10288,5096
P0007,01-12-2023,15475,7668
P0007,01-01-2024,13795,9061
P0007,01-02-2024,12258,1732
P0007,01-03-2024,29745,11850
P0007,01-04-2024,10371,5706
P0007,01-05-2024,18369,9443
P0007,01-06-2024,16199,8391
P0007,01-07-2024,10738,3972
P0007,01-08-2024,23123,6901
P0007,01-09-2024,19679,3261
P0007,01-10-2024,14167,2376
P0007,01-11-2024,18277,5312
P0007,01-12-2024,29888,2960
P0008,01-01-2023,22117,3105
P0008,01-02-2023,9622,8267
P0008,01-03-2023,15613,8486
P0008,01-04-2023,23901,5235
P0008,01-05-2023,29736,9934
P0008,01-06-2023,6590,2563
P0008,01-07-2023,8324,10611
P0008,01-08-2023,9342,1505
P0008,01-09-2023,27873,10159
P0008,01-10-2023,18043,9695
P0008,01-11-2023,26350,10337
P0008,01-12-2023,4117,4051
P0008,01-01-2024,18309,7060
P0008,01-02-2024,24673,2346
P0008,01-03-2024,14954,7816
P0008,01-04-2024,10469,10833
P0008,01-05-2024,29299,1724
P0008,01-06-2024,16819,5708
P0008,01-07-2024,10283,3548
P0008,01-08-2024,10233,11265
P0008,01-09-2024,5828,3417
P0008,01-10-2024,24618,8488
P0008,01-11-2024,22410,5244
P0008,01-12-2024,29477,11731
P0009,01-01-2023,4009,1760
P0009,01-02-2023,26422,11365
P0009,01-03-2023,6219,8541
P0009,01-04-2023,22444,6787
P0009,01-05-2023,5619,10012
P0009,01-06-2023,5342,4332
P0009,01-07-2023,23208,3494
P0009,01-08-2023,18231,11730
P0009,01-09-2023,7490,10810
P0009,01-10-2023,11984,3104
P0009,01-11-2023,16219,1735
P0009,01-12-2023,14161,3408
P0009,01-01-2024,12567,5030
P0009,01-02-2024,9256,4135
P0009,01-03-2024,12162,11262
P0009,01-04-2024,22944,6915
P0009,01-05-2024,7391,7451
P0009,01-06-2024,25852,9507
P0009,01-07-2024,13064,10944
P0009,01-08-2024,26797,8441
P0009,01-09-2024,29890,6320
P0009,01-10-2024,19524,4398
P0009,01-11-2024,27930,1577
P0009,01-12-2024,11577,5727
P0010,01-01-2023,20984,2565
P0010,01-02-2023,22520,11555
P0010,01-03-2023,13510,8443
P0010,01-04-2023,15954,9304
P0010,01-05-2023,10565,7484
P0010,01-06-2023,25526,6170
P0010,01-07-2023,22574,10684
P0010,01-08-2023,23096,3692
P0010,01-09-2023,5248,5533
P0010,01-10-2023,22381,5187
P0010,01-11-2023,8018,3470
P0010,01-12-2023,12389,7265
P0010,01-01-2024,21586,9635
P0010,01-02-2024,25951,9167
P0010,01-03-2024,19374,7242
P0010,01-04-2024,9788,6908
P0010,01-05-2024,29053,10946
P0010,01-06-2024,4922,1919
P0010,01-07-2024,22588,2620
P0010,01-08-2024,15260,2450
P0010,01-09-2024,6336,6873
P0010,01-10-2024,6243,4145
P0010,01-11-2024,8612,3365
P0010,01-12-2024,15104,7528
P0011,01-01-2023,27710,7871
P0011,01-02-2023,10359,9363
P0011,01-03-2023,7228,5219
P0011,01-04-2023,18382,3871
P0011,01-05-2023,6891,5256
P0011,01-06-2023,24609,1594
P0011,01-07-2023,6674,8398
P0011,01-08-2023,14147,2293
P0011,01-09-2023,6116,7279
P0011,01-10-2023,16298,7666
P0011,01-11-2023,4814,1845
P0011,01-12-2023,14541,10054
P0011,01-01-2024,6443,11957
P0011,01-02-2024,14380,9283
P0011,01-03-2024,15473,2484
P0011,01-04-2024,19328,9290
P0011,01-05-2024,4827,5031
P0011,01-06-2024,11147,5951
P0011,01-07-2024,19343,5376
P0011,01-08-2024,9959,1626
P0011,01-09-2024,23561,10295
P0011,01-10-2024,15641,7524
P0011,01-11-2024,25493,5646
P0011,01-12-2024,11196,4868
P0012,01-01-2023,7797,3292
P0012,01-02-2023,15053,7232
P0012,01-03-2023,7476,4917
P0012,01-04-2023,5645,10897
P0012,01-05-2023,23414,4372
P0012,01-06-2023,7072,3354
P0012,01-07-2023,24405,6162
P0012,01-08-2023,10514,6531
P0012,01-09-2023,6708,8612
P0012,01-10-2023,13524,9893
P0012,01-11-2023,23891,7956
P0012,01-12-2023,8212,9470
P0012,01-01-2024,29150,2036
P0012,01-02-2024,5625,11814
P0012,01-03-2024,11973,10077
P0012,01-04-2024,12070,10166
P0012,01-05-2024,28993,7990
P0012,01-06-2024,7600,8283
P0012,01-07-2024,17226,10646
P0012,01-08-2024,8971,2705
P0012,01-09-2024,16951,3490
P0012,01-10-2024,9299,5072
P0012,01-11-2024,26359,7820
P0012,01-12-2024,8380,6257
P0013,01-01-2023,23097,11895
P0013,01-02-2023,20241,7088
P0013,01-03-2023,21350,6444
P0013,01-04-2023,17395,4932
P0013,01-05-2023,21072,5743
P0013,01-06-2023,24085,10033
P0013,01-07-2023,25566,11416
P0013,01-08-2023,27088,5922
P0013,01-09-2023,13984,3259
P0013,01-10-2023,13181,11954
P0013,01-11-2023,6482,9558
P0013,01-12-2023,4951,10414
P0013,01-01-2024,6079,4217
P0013,01-02-2024,24908,11192
P0013,01-03-2024,28861,8811
P0013,01-04-2024,27570,3565
P0013,01-05-2024,4768,6990
P0013,01-06-2024,19534,8145
P0013,01-07-2024,25467,6732
P0013,01-08-2024,15485,7297
P0013,01-09-2024,29522,6426
P0013,01-10-2024,26400,4835
P0013,01-11-2024,16342,9538
P0013,01-12-2024,20002,6373
P0014,01-01-2023,5481,11593
P0014,01-02-2023,26689,4951
P0014,01-03-2023,18422,1554
P0014,01-04-2023,11643,11515
P0014,01-05-2023,23846,2332
P0014,01-06-2023,16600,7454
P0014,01-07-2023,18295,10019
P0014,01-08-2023,27605,4810
P0014,01-09-2023,7300,8222
P0014,01-10-2023,11218,9276
P0014,01-11-2023,24059,4554
P0014,01-12-2023,17575,9470
P0014,01-01-2024,6143,6707
P0014,01-02-2024,13503,4038
P0014,01-03-2024,16175,6047
P0014,01-04-2024,26003,9856
P0014,01-05-2024,26996,6505
P0014,01-06-2024,19070,2322
P0014,01-07-2024,21327,7650
P0014,01-08-2024,8425,10466
P0014,01-09-2024,20032,3698
P0014,01-10-2024,24626,5195
P0014,01-11-2024,7452,10606
P0014,01-12-2024,17859,2808
P0015,01-01-2023,24561,10205
P0015,01-02-2023,14112,8352
P0015,01-03-2023,26419,5094
P0015,01-04-2023,8841,2909
P0015,01-05-2023,8566,5991
P0015,01-06-2023,21939,2304
P0015,01-07-2023,17221,2779
P0015,01-08-2023,17192,8583
P0015,01-09-2023,26370,7119
P0015,01-10-2023,15093,2887
P0015,01-11-2023,16880,4179
P0015,01-12-2023,6106,9673
P0015,01-01-2024,20086,5723
P0015,01-02-2024,8831,4268
P0015,01-03-2024,7186,4073
P0015,01-04-2024,16808,4099
P0015,01-05-2024,8033,9928
P0015,01-06-2024,5304,8868
P0015,01-07-2024,26261,2801
P0015,01-08-2024,22925,3551
P0015,01-09-2024,27193,10133
P0015,01-10-2024,15372,10496
P0015,01-11-2024,20458,8481
P0015,01-12-2024,9475,9732
P0016,01-01-2023,11184,7296
P0016,01-02-2023,27525,3122
P0016,01-03-2023,19988,9541
P0016,01-04-2023,20725,3574
P0016,01-05-2023,11992,2145
P0016,01-06-2023,8263,10301
P0016,01-07-2023,18060,7636
P0016,01-08-2023,19156,10146
P0016,01-09-2023,15664,4469
P0016,01-10-2023,7028,9143
P0016,01-11-2023,23065,5129
P0016,01-12-2023,24609,4567
P0016,01-01-2024,9941,2886
P0016,01-02-2024,23250,6288
P0016,01-03-2024,15555,6990
P0016,01-04-2024,17081,5624
P0016,01-05-2024,28724,5350
P0016,01-06-2024,25799,11750
P0016,01-07-2024,28063,8319
P0016,01-08-2024,29712,9878
P0016,01-09-2024,15046,10942
P0016,01-10-2024,21717,5650
P0016,01-11-2024,27150,4211
P0016,01-12-2024,8853,7712
P0017,01-01-2023,27863,6908
P0017,01-02-2023,11715,10442
P0017,01-03-2023,19507,3262
P0017,01-04-2023,19850,8601
P0017,01-05-2023,28058,7622
P0017,01-06-2023,4481,1653
P0017,01-07-2023,11617,3024
P0017,01-08-2023,6120,3843
P0017,01-09-2023,9136,7260
P0017,01-10-2023,5240,1560
P0017,01-11-2023,13130,3139
P0017,01-12-2023,26569,9470
P0017,01-01-2024,16418,2752
P0017,01-02-2024,24587,9863
P0017,01-03-2024,13650,5049
P0017,01-04-2024,24581,8509
P0017,01-05-2024,27051,3822
P0017,01-06-2024,20314,5590
P0017,01-07-2024,10960,4504
P0017,01-08-2024,25520,1829
P0017,01-09-2024,7640,9482
P0017,01-10-2024,24491,2841
P0017,01-11-2024,15855,9907
P0017,01-12-2024,4338,7395
P0018,01-01-2023,16254,4208
P0018,01-02-2023,15344,3250
P0018,01-03-2023,25988,3921
P0018,01-04-2023,11119,10401
P0018,01-05-2023,9319,8109
P0018,01-06-2023,25771,5493
P0018,01-07-2023,29064,9544
P0018,01-08-2023,17849,9738
P0018,01-09-2023,8873,6306
P0018,01-10-2023,12592,7413
P0018,01-11-2023,27508,4657
P0018,01-12-2023,20774,5930
P0018,01-01-2024,12820,9186
P0018,01-02-2024,8232,9507
P0018,01-03-2024,21905,10518
P0018,01-04-2024,5500,8237
P0018,01-05-2024,7294,6585
P0018,01-06-2024,22803,10626
P0018,01-07-2024,23426,5997
P0018,01-08-2024,21850,5061
P0018,01-09-2024,4614,6892
P0018,01-10-2024,28077,10874
P0018,01-11-2024,23607,8638
P0018,01-12-2024,6667,9480
P0019,01-01-2023,17409,1630
P0019,01-02-2023,6983,5778
P0019,01-03-2023,27510,9730
P0019,01-04-2023,28078,8140
P0019,01-05-2023,15779,6968
P0019,01-06-2023,19317,2420
P0019,01-07-2023,11564,10184
P0019,01-08-2023,17737,10823
P0019,01-09-2023,19229,10002
P0019,01-10-2023,29314,4741
P0019,01-11-2023,4545,5846
P0019,01-12-2023,13996,5310
P0019,01-01-2024,11206,10505
P0019,01-02-2024,20371,3532
P0019,01-03-2024,12436,1771
P0019,01-04-2024,23895,3271
P0019,01-05-2024,29838,5861
P0019,01-06-2024,11069,2420
P0019,01-07-2024,28574,4930
P0019,01-08-2024,24819,5260
P0019,01-09-2024,6050,2665
P0019,01-10-2024,28951,3533
P0019,01-11-2024,26851,1645
P0019,01-12-2024,18269,5888
P0020,01-01-2023,11832,10123
P0020,01-02-2023,29280,9673
P0020,01-03-2023,18286,4132
P0020,01-04-2023,8494,9556
P0020,01-05-2023,27895,10655
P0020,01-06-2023,14426,11733
P0020,01-07-2023,5828,11800
P0020,01-08-2023,16260,10630
P0020,01-09-2023,8805,2306
P0020,01-10-2023,27870,9702
P0020,01-11-2023,5868,9378
P0020,01-12-2023,18899,7190
P0020,01-01-2024,28211,6929
P0020,01-02-2024,13076,5064
P0020,01-03-2024,5389,8774
P0020,01-04-2024,21208,3765
P0020,01-05-2024,21320,7902
P0020,01-06-2024,18199,5345
P0020,01-07-2024,19876,3296
P0020,01-08-2024,12245,8714
P0020,01-09-2024,4726,4236
P0020,01-10-2024,17832,3413
P0020,01-11-2024,14106,9157
P0020,01-12-2024,22850,10541
P0021,01-01-2023,27696,9694
P0021,01-02-2023,11906,6376
P0021,01-03-2023,11287,2392
P0021,01-04-2023,14222,6175
P0021,01-05-2023,5933,2880
P0021,01-06-2023,15873,2790
P0021,01-07-2023,22024,8990
P0021,01-08-2023,14874,10679
P0021,01-09-2023,21602,6516
P0021,01-10-2023,27265,11047
P0021,01-11-2023,17774,11252
P0021,01-12-2023,29994,2454
P0021,01-01-2024,19585,10675
P0021,01-02-2024,11291,2474
P0021,01-03-2024,8133,6870
P0021,01-04-2024,7972,6795
P0021,01-05-2024,17913,10605
P0021,01-06-2024,12228,11403
P0021,01-07-2024,7020,10487
P0021,01-08-2024,24420,6568
P0021,01-09-2024,16880,6733
P0021,01-10-2024,13516,1817
P0021,01-11-2024,6396,3662
P0021,01-12-2024,23129,3091
P0022,01-01-2023,15303,7683
P0022,01-02-2023,24314,11688
P0022,01-03-2023,5312,10977
P0022,01-04-2023,24695,8814
P0022,01-05-2023,22767,4739
P0022,01-06-2023,6139,3204
P0022,01-07-2023,10924,1862
P0022,01-08-2023,22988,11408
P0022,01-09-2023,17481,5786
P0022,01-10-2023,7738,3969
P0022,01-11-2023,25179,7650
P0022,01-12-2023,20106,2056
P0022,01-01-2024,13017,4308
P0022,01-02-2024,20370,6650
P0022,01-03-2024,18870,9061
P0022,01-04-2024,6719,8006
P0022,01-05-2024,15700,5241
P0022,01-06-2024,13766,5498
P0022,01-07-2024,22787,10280
P0022,01-08-2024,4294,11677
P0022,01-09-2024,25727,11382
P0022,01-10-2024,5136,3564
P0022,01-11-2024,11009,6043
P0022,01-12-2024,5007,6945
P0023,01-01-2023,14706,6852
P0023,01-02-2023,13439,2935
P0023,01-03-2023,4571,3882
P0023,01-04-2023,29821,11776
P0023,01-05-2023,9084,1777
P0023,01-06-2023,17507,8559
P0023,01-07-2023,22271,2765
P0023,01-08-2023,11491,2540
P0023,01-09-2023,18859,10609
P0023,01-10-2023,12073,10577
P0023,01-11-2023,23136,9713
P0023,01-12-2023,24953,7853
P0023,01-01-2024,6353,8937
P0023,01-02-2024,8799,2186
P0023,01-03-2024,28860,6311
P0023,01-04-2024,15939,10454
P0023,01-05-2024,25730,6543
P0023,01-06-2024,6428,6626
P0023,01-07-2024,28604,10598
P0023,01-08-2024,15296,9313
P0023,01-09-2024,18414,11145
P0023,01-10-2024,17025,4856
P0023,01-11-2024,29091,8766
P0023,01-12-2024,10540,1538
P0024,01-01-2023,7342,10578
P0024,01-02-2023,6844,11896
P0024,01-03-2023,21482,8527
P0024,01-04-2023,22207,4655
P0024,01-05-2023,7093,7158
P0024,01-06-2023,24162,4396
P0024,01-07-2023,15645,2488
P0024,01-08-2023,24500,7946
P0024,01-09-2023,20335,5679
P0024,01-10-2023,20133,3182
P0024,01-11-2023,9626,8924
P0024,01-12-2023,16857,2433
P0024,01-01-2024,23982,3480
P0024,01-02-2024,19522,11547
P0024,01-03-2024,23440,10484
P0024,01-04-2024,21175,11501
P0024,01-05-2024,9390,8135
P0024,01-06-2024,22639,5110
P0024,01-07-2024,5607,6679
P0024,01-08-2024,10573,2484
P0024,01-09-2024,9776,5176
P0024,01-10-2024,7380,10211
P0024,01-11-2024,12782,2550
P0024,01-12-2024,17997,5133
P0025,01-01-2023,10342,2459
P0025,01-02-2023,10059,10384
P0025,01-03-2023,9655,5973
P0025,01-04-2023,23330,9225
P0025,01-05-2023,4526,4724
P0025,01-06-2023,19069,11945
P0025,01-07-2023,15536,3375
P0025,01-08-2023,5763,10212
P0025,01-09-2023,9797,10708
P0025,01-10-2023,27483,6609
P0025,01-11-2023,27028,1616
P0025,01-12-2023,6433,6963
P0025,01-01-2024,20967,10086
P0025,01-02-2024,24172,5667
P0025,01-03-2024,28849,11705
P0025,01-04-2024,21773,9857
P0025,01-05-2024,10154,6920
P0025,01-06-2024,12920,3543
P0025,01-07-2024,24581,4996
P0025,01-08-2024,21162,1713
P0025,01-09-2024,7762,11268
P0025,01-10-2024,14640,8231
